:START_ID(KG),:END_ID(KG),:TYPE,id,relation,evidence_code,knowledge_level,agent_type,provided_by,source
NCBIGene:190,GO:0045892,INVOLVED_IN,edge:0008519,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0001649,INVOLVED_IN,edge:0008523,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0001938,INVOLVED_IN,edge:0008524,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0002042,INVOLVED_IN,edge:0008525,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0002430,INVOLVED_IN,edge:0008526,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0003376,INVOLVED_IN,edge:0008527,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0005977,INVOLVED_IN,edge:0008545,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0005978,INVOLVED_IN,edge:0008546,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0005979,INVOLVED_IN,edge:0008547,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0006006,INVOLVED_IN,edge:0008548,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0006417,INVOLVED_IN,edge:0008549,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0006468,INVOLVED_IN,edge:0008550,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0006809,INVOLVED_IN,edge:0008551,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0006915,INVOLVED_IN,edge:0008552,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0006924,INVOLVED_IN,edge:0008553,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0006979,INVOLVED_IN,edge:0008554,RO:0001025,ISS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0007165,INVOLVED_IN,edge:0008555,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0007173,INVOLVED_IN,edge:0008556,RO:0001025,IDA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0007186,INVOLVED_IN,edge:0008557,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0007399,INVOLVED_IN,edge:0008558,RO:0001025,IEA,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0008283,INVOLVED_IN,edge:0008559,RO:0001025,TAS,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
NCBIGene:207,GO:0008286,INVOLVED_IN,edge:0008560,RO:0001025,IMP,knowledge_assertion,manual_agent,NCBI:Gene2GO,Gene Ontology via NCBI gene2go
